Link,Name,School,Location,Language of instruction,Standard length of studies,Degree,Area of Focus,Tuition fees,Admission requirements (Germany),Admission requirements (Link),Admission Mode,Admission Semester,Lecture Period,Website,International Office (AAA),AAA Mail,AAA Link
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w43998&q=&degree=37&subjects%5B193%5D=1&studyareas%5B226%5D=1&courselanguage=&locations=&universities%5B1%5D=1&admissionsemester=&sort=town&page=1,Computational Engineering Science,RWTH Aachen University,Aachen,German,3 semesters,Master (Master of Science),,,A first degree is a requirement for admission to the course. Specific educational requirements are stated in the examination regulations. The Examination Board decides on whether the admission requirements are met.,http://www.rwth-aachen.de/go/id//xhf/?search=Computational+Engineering+Science+Master,open admission,Summer and Winter Semester,09.10.2017 - 02.02.2018,http://www.rwth-aachen.de/cms/root/Studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/~bksp/Computational-Engineering-Science-M-Sc-/,Internationale Hochschulbeziehungen Templergraben 57 52062 Aachen Tel.: 0241 80-90660 Fax: 0241 80-92662,international@rwth-aachen.de,http://www.campus.rwth-aachen.de/rwth/all/unit.asp?gguid=0x9FF712310809D611BDB70002A5871170&tguid=0x21DEDDD2FAC4E541A582F22A9D8DBA5D
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w16844&q=&degree=37&subjects%5B193%5D=1&studyareas%5B226%5D=1&courselanguage=&locations=&universities%5B1%5D=1&admissionsemester=&sort=town&page=1,Computer science,RWTH Aachen University,Aachen,German,4 semesters,Master (Master of Science),,,Commencement of studies is subject to having a first degree. Specific educational requirements are stated in the examination regulations. The examination board adjudicates on whether the admission requirements have been met.,http://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoyyc,open admission,Summer and Winter Semester,09.10.2017 - 02.02.2018,http://www.rwth-aachen.de/go/id/bcfg/?#aaaaaaaaaaabcfh,Internationale Hochschulbeziehungen Templergraben 57 52062 Aachen Tel.: 0241 80-90660 Fax: 0241 80-92662,international@rwth-aachen.de,http://www.campus.rwth-aachen.de/rwth/all/unit.asp?gguid=0x9FF712310809D611BDB70002A5871170&tguid=0x21DEDDD2FAC4E541A582F22A9D8DBA5D
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w60434&q=&degree=37&subjects%5B193%5D=1&studyareas%5B226%5D=1&courselanguage=&locations=&universities%5B1%5D=1&admissionsemester=&sort=town&page=1,Management and Engineering in Data and Decision Science,RWTH Aachen University,Aachen,English,4 semesters,Master (Master of Science),,3000000 EUR total,RWTH Business School is looking for applicants who have a background in a technological area and at least a Bachelor of Engineering or Science degree in a STEM field (science technology engineering and mathematics). Applicants need at least: - 125 credit points in mathematics and/or natural sciences (e.g. physics chemistry computer science or similar) - 25 credit points in the fields of higher mathematics or statistics database and information systems programming algorithms and data structures complexity theory quantitative methods/operations research,https://business-school.rwth-aachen.de/en/programs/degree-programs/mme-dds/overview,open admission,Winter Semester only,09.10.2017 - 02.02.2018,,Internationale Hochschulbeziehungen Templergraben 57 52062 Aachen Tel.: 0241 80-90660 Fax: 0241 80-92662,international@rwth-aachen.de,http://www.campus.rwth-aachen.de/rwth/all/unit.asp?gguid=0x9FF712310809D611BDB70002A5871170&tguid=0x21DEDDD2FAC4E541A582F22A9D8DBA5D
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w7078&q=&degree=37&subjects%5B193%5D=1&studyareas%5B226%5D=1&courselanguage=&locations=&universities%5B1%5D=1&admissionsemester=&sort=town&page=1,Media Informatics,RWTH Aachen University,Aachen,English,4 semesters,Master (Master of Science),,,Commencement of studies is subject to having a first degree. Specific educational requirements are stated in the examination regulations. A further requirement for admission to the course is an adequate command of English.,http://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaoxva,open admission,Winter Semester only,09.10.2017 - 02.02.2018,http://www.rwth-aachen.de/go/id/bowk/?#aaaaaaaaaaabowl,Internationale Hochschulbeziehungen Templergraben 57 52062 Aachen Tel.: 0241 80-90660 Fax: 0241 80-92662,international@rwth-aachen.de,http://www.campus.rwth-aachen.de/rwth/all/unit.asp?gguid=0x9FF712310809D611BDB70002A5871170&tguid=0x21DEDDD2FAC4E541A582F22A9D8DBA5D
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w29632&q=&degree=37&subjects%5B193%5D=1&studyareas%5B226%5D=1&courselanguage=&locations=&universities%5B1%5D=1&admissionsemester=&sort=town&page=1,Simulation Sciences,RWTH Aachen University,Aachen,English,4 semesters,Master (Master of Science),,,Recognised first qualified degree proven command of English and proof of special aptitude for the subject. The assessment of subject-related aptitude will be conducted by the German Research School for Simulation Sciences and the examination committee Simulation Sciences of RWTH Aachen.,http://www9.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaacdadk&download=1,open admission,Winter Semester only,09.10.2017 - 02.02.2018,http://www.grs-sim.de/education/master/,Internationale Hochschulbeziehungen Templergraben 57 52062 Aachen Tel.: 0241 80-90660 Fax: 0241 80-92662,international@rwth-aachen.de,http://www.campus.rwth-aachen.de/rwth/all/unit.asp?gguid=0x9FF712310809D611BDB70002A5871170&tguid=0x21DEDDD2FAC4E541A582F22A9D8DBA5D
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w5622&q=&degree=37&subjects%5B193%5D=1&studyareas%5B226%5D=1&courselanguage=&locations=&universities%5B1%5D=1&admissionsemester=&sort=town&page=1,Software Systems Engineering,RWTH Aachen University,Aachen,English,4 semesters,Master (Master of Science),,,Candidates should have a recognised first degree (Bachelor of Science or Engineering) in computer science computer engineering informatics or in another closely related discipline awarded by an internationally recognised university or equivalent degree-awarding institution. Applicants should also have a record of above-average performance during their undergraduate studies. Further we strongly advise candidates to take the Graduate Record Examination (GRE). Candidates are required to be able to speak and write fluent English (TOEFL 550 paper-based/213 computer-based/80 Internet-based or IELTS 6.0). English-speaking students will attend a basic German language course starting in August 2 months prior to the beginning of the Master's programme.,http://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaaozdd,open admission,Winter Semester only,09.10.2017 - 02.02.2018,http://www.rwth-aachen.de/go/id/bnhr/?#aaaaaaaaaaabnhs,Internationale Hochschulbeziehungen Templergraben 57 52062 Aachen Tel.: 0241 80-90660 Fax: 0241 80-92662,international@rwth-aachen.de,http://www.campus.rwth-aachen.de/rwth/all/unit.asp?gguid=0x9FF712310809D611BDB70002A5871170&tguid=0x21DEDDD2FAC4E541A582F22A9D8DBA5D
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w57976&q=&degree=37&subjects%5B193%5D=1&studyareas%5B226%5D=1&courselanguage=&locations=&universities%5B1%5D=1&admissionsemester=&sort=town&page=1,Business Informatics,University of Augsburg,Augsburg,German,4 semesters,Master (Master of Science),,,,,,Summer and Winter Semester,15.10.2018 - 09.02.2019 The lectures are during the semester: Tue 01.05.2018 (Labour Day) Thu 10.05.2018 (Ascension Day) Mon 21.05.2018 (Whit Monday) Tue 22.05.2018 (Tuesday following Pentecost) Thu 31.05.2018 (Feast of Corpus Christi),http://www.win-studieren.de,Akademisches Auslandsamt Universitätsstraße 6 86159 Augsburg Tel.: 0821 598-5148 Fax: 0821 598-5142,sabine.tamm@aaa.uni-augsburg.de,http://www.aaa.uni-augsburg.de/de/
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w7452&q=&degree=37&subjects%5B193%5D=1&studyareas%5B226%5D=1&courselanguage=&locations=&universities%5B1%5D=1&admissionsemester=&sort=town&page=1,Computer Science and Multimedia,University of Augsburg,Augsburg,German,4 semesters,Master (Master of Science),,,University degree (Bachelor's or Master's Diploma) in Computer Science or similar average grade of at least 2.7. Please enquire for degrees from universities of applied sciences.,http://www.informatik.uni-augsburg.de/studium/studiengaenge/master_im11/,open admission,Summer and Winter Semester,15.10.2018 - 09.02.2019 The lectures are during the semester: Tue 01.05.2018 (Labour Day) Thu 10.05.2018 (Ascension Day) Mon 21.05.2018 (Whit Monday) Tue 22.05.2018 (Tuesday following Pentecost) Thu 31.05.2018 (Feast of Corpus Christi),http://www.informatik.uni-augsburg.de/de/studium/studiengaenge/master_im11/,Akademisches Auslandsamt Universitätsstraße 6 86159 Augsburg Tel.: 0821 598-5148 Fax: 0821 598-5142,sabine.tamm@aaa.uni-augsburg.de,http://www.aaa.uni-augsburg.de/de/
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w53989&q=&degree=37&subjects%5B193%5D=1&studyareas%5B226%5D=1&courselanguage=&locations=&universities%5B1%5D=1&admissionsemester=&sort=town&page=1,Computer Science for Engineering Applications,University of Augsburg,Augsburg,German,4 semesters,Master (Master of Science),,,Proof of sufficient command of German at the DSH Level 1 is required. Required minimum grade of the Bachelor's degree is 2.7.,,open admission,Summer and Winter Semester,15.10.2018 - 09.02.2019 The lectures are during the semester: Tue 01.05.2018 (Labour Day) Thu 10.05.2018 (Ascension Day) Mon 21.05.2018 (Whit Monday) Tue 22.05.2018 (Tuesday following Pentecost) Thu 31.05.2018 (Feast of Corpus Christi),http://www.isse.uni-augsburg.de/en/staff/seebach/,Akademisches Auslandsamt Universitätsstraße 6 86159 Augsburg Tel.: 0821 598-5148 Fax: 0821 598-5142,sabine.tamm@aaa.uni-augsburg.de,http://www.aaa.uni-augsburg.de/de/
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w28600&q=&degree=37&subjects%5B193%5D=1&studyareas%5B226%5D=1&courselanguage=&locations=&universities%5B1%5D=1&admissionsemester=&sort=town&page=1,Computer science applied,University of Augsburg,Augsburg,German,4 semesters,Master (Master of Science),,,University degree (Bachelor's or Master's Diploma) in Computer Science or similar average grade of at least 2.7. Please enquire for degrees from universities of applied sciences.,http://www.informatik.uni-augsburg.de/studium/studiengaenge/master_i1/,open admission,Summer and Winter Semester,15.10.2018 - 09.02.2019 The lectures are during the semester: Tue 01.05.2018 (Labour Day) Thu 10.05.2018 (Ascension Day) Mon 21.05.2018 (Whit Monday) Tue 22.05.2018 (Tuesday following Pentecost) Thu 31.05.2018 (Feast of Corpus Christi),http://www.informatik.uni-augsburg.de/de/studium/studiengaenge/master_i1/,Akademisches Auslandsamt Universitätsstraße 6 86159 Augsburg Tel.: 0821 598-5148 Fax: 0821 598-5142,sabine.tamm@aaa.uni-augsburg.de,http://www.aaa.uni-augsburg.de/de/
