Link,Name,School,Location,Language of instruction,Standard length of studies,Degree,Area of Focus,Tuition fees,Admission requirements (Germany),Admission requirements (Link),Admission Mode,Admission Semester,Lecture Period,Website,International Office (AAA),AAA Mail,AAA Link
https://tinyurl.com/ycvs28nr,Computational Engineering Science,RWTH Aachen University,Aachen,German,3 semesters,Master (Master of Science),,,A first degree is a requirement for admission to the course. Specific educational requirements are stated in the examination regulations. The Examination Board decides on whether the admission requirements are met.,https://tinyurl.com/ycmtbwl4,open admission,Summer and Winter Semester,09.10.2017 - 02.02.2018,https://tinyurl.com/y7yql6v7,Internationale Hochschulbeziehungen Templergraben 57 52062 Aachen Tel.: 0241 80-90660 Fax: 0241 80-92662,international@rwth-aachen.de,https://tinyurl.com/67dyvo
https://tinyurl.com/y7k38xvu,Computer science,RWTH Aachen University,Aachen,German,4 semesters,Master (Master of Science),,,Commencement of studies is subject to having a first degree. Specific educational requirements are stated in the examination regulations. The examination board adjudicates on whether the admission requirements have been met.,https://tinyurl.com/ya7erzl2,open admission,Summer and Winter Semester,09.10.2017 - 02.02.2018,https://tinyurl.com/y8m78tl4,Internationale Hochschulbeziehungen Templergraben 57 52062 Aachen Tel.: 0241 80-90660 Fax: 0241 80-92662,international@rwth-aachen.de,https://tinyurl.com/67dyvo
https://tinyurl.com/ya588cdb,Management and Engineering in Data and Decision Science,RWTH Aachen University,Aachen,English,4 semesters,Master (Master of Science),,3000000 EUR total,RWTH Business School is looking for applicants who have a background in a technological area and at least a Bachelor of Engineering or Science degree in a STEM field (science technology engineering and mathematics). Applicants need at least: - 125 credit points in mathematics and/or natural sciences (e.g. physics chemistry computer science or similar) - 25 credit points in the fields of higher mathematics or statistics database and information systems programming algorithms and data structures complexity theory quantitative methods/operations research,https://tinyurl.com/ycv6pszb,open admission,Winter Semester only,09.10.2017 - 02.02.2018,,Internationale Hochschulbeziehungen Templergraben 57 52062 Aachen Tel.: 0241 80-90660 Fax: 0241 80-92662,international@rwth-aachen.de,https://tinyurl.com/67dyvo
https://tinyurl.com/ycruu47l,Media Informatics,RWTH Aachen University,Aachen,English,4 semesters,Master (Master of Science),,,Commencement of studies is subject to having a first degree. Specific educational requirements are stated in the examination regulations. A further requirement for admission to the course is an adequate command of English.,https://tinyurl.com/ya825lsp,open admission,Winter Semester only,09.10.2017 - 02.02.2018,https://tinyurl.com/yagc8tj5,Internationale Hochschulbeziehungen Templergraben 57 52062 Aachen Tel.: 0241 80-90660 Fax: 0241 80-92662,international@rwth-aachen.de,https://tinyurl.com/67dyvo
https://tinyurl.com/y9moa7yq,Simulation Sciences,RWTH Aachen University,Aachen,English,4 semesters,Master (Master of Science),,,Recognised first qualified degree proven command of English and proof of special aptitude for the subject. The assessment of subject-related aptitude will be conducted by the German Research School for Simulation Sciences and the examination committee Simulation Sciences of RWTH Aachen.,https://tinyurl.com/y9bantd4,open admission,Winter Semester only,09.10.2017 - 02.02.2018,https://tinyurl.com/ya5wsldm,Internationale Hochschulbeziehungen Templergraben 57 52062 Aachen Tel.: 0241 80-90660 Fax: 0241 80-92662,international@rwth-aachen.de,https://tinyurl.com/67dyvo
https://tinyurl.com/yam6v58h,Software Systems Engineering,RWTH Aachen University,Aachen,English,4 semesters,Master (Master of Science),,,Candidates should have a recognised first degree (Bachelor of Science or Engineering) in computer science computer engineering informatics or in another closely related discipline awarded by an internationally recognised university or equivalent degree-awarding institution. Applicants should also have a record of above-average performance during their undergraduate studies. Further we strongly advise candidates to take the Graduate Record Examination (GRE). Candidates are required to be able to speak and write fluent English (TOEFL 550 paper-based/213 computer-based/80 Internet-based or IELTS 6.0). English-speaking students will attend a basic German language course starting in August 2 months prior to the beginning of the Master's programme.,https://tinyurl.com/ybmrfymy,open admission,Winter Semester only,09.10.2017 - 02.02.2018,https://tinyurl.com/yb8mjw6y,Internationale Hochschulbeziehungen Templergraben 57 52062 Aachen Tel.: 0241 80-90660 Fax: 0241 80-92662,international@rwth-aachen.de,https://tinyurl.com/67dyvo
https://tinyurl.com/yd42dt6w,Business Informatics,University of Augsburg,Augsburg,German,4 semesters,Master (Master of Science),,,,,,Summer and Winter Semester,15.10.2018 - 09.02.2019 The lectures are during the semester: Tue 01.05.2018 (Labour Day) Thu 10.05.2018 (Ascension Day) Mon 21.05.2018 (Whit Monday) Tue 22.05.2018 (Tuesday following Pentecost) Thu 31.05.2018 (Feast of Corpus Christi),http://www.win-studieren.de,Akademisches Auslandsamt Universitätsstraße 6 86159 Augsburg Tel.: 0821 598-5148 Fax: 0821 598-5142,sabine.tamm@aaa.uni-augsburg.de,https://tinyurl.com/y7ga6tjc
https://tinyurl.com/y8jnh59z,Computer Science and Multimedia,University of Augsburg,Augsburg,German,4 semesters,Master (Master of Science),,,University degree (Bachelor's or Master's Diploma) in Computer Science or similar average grade of at least 2.7. Please enquire for degrees from universities of applied sciences.,https://tinyurl.com/yarnyvw7,open admission,Summer and Winter Semester,15.10.2018 - 09.02.2019 The lectures are during the semester: Tue 01.05.2018 (Labour Day) Thu 10.05.2018 (Ascension Day) Mon 21.05.2018 (Whit Monday) Tue 22.05.2018 (Tuesday following Pentecost) Thu 31.05.2018 (Feast of Corpus Christi),https://tinyurl.com/ybf5j32c,Akademisches Auslandsamt Universitätsstraße 6 86159 Augsburg Tel.: 0821 598-5148 Fax: 0821 598-5142,sabine.tamm@aaa.uni-augsburg.de,https://tinyurl.com/y7ga6tjc
https://tinyurl.com/ybkg7mad,Computer Science for Engineering Applications,University of Augsburg,Augsburg,German,4 semesters,Master (Master of Science),,,Proof of sufficient command of German at the DSH Level 1 is required. Required minimum grade of the Bachelor's degree is 2.7.,,open admission,Summer and Winter Semester,15.10.2018 - 09.02.2019 The lectures are during the semester: Tue 01.05.2018 (Labour Day) Thu 10.05.2018 (Ascension Day) Mon 21.05.2018 (Whit Monday) Tue 22.05.2018 (Tuesday following Pentecost) Thu 31.05.2018 (Feast of Corpus Christi),https://tinyurl.com/y8uxbeu6,Akademisches Auslandsamt Universitätsstraße 6 86159 Augsburg Tel.: 0821 598-5148 Fax: 0821 598-5142,sabine.tamm@aaa.uni-augsburg.de,https://tinyurl.com/y7ga6tjc
https://tinyurl.com/ybck99mg,Computer science applied,University of Augsburg,Augsburg,German,4 semesters,Master (Master of Science),,,University degree (Bachelor's or Master's Diploma) in Computer Science or similar average grade of at least 2.7. Please enquire for degrees from universities of applied sciences.,https://tinyurl.com/y8vgse5t,open admission,Summer and Winter Semester,15.10.2018 - 09.02.2019 The lectures are during the semester: Tue 01.05.2018 (Labour Day) Thu 10.05.2018 (Ascension Day) Mon 21.05.2018 (Whit Monday) Tue 22.05.2018 (Tuesday following Pentecost) Thu 31.05.2018 (Feast of Corpus Christi),https://tinyurl.com/y8rw4uyt,Akademisches Auslandsamt Universitätsstraße 6 86159 Augsburg Tel.: 0821 598-5148 Fax: 0821 598-5142,sabine.tamm@aaa.uni-augsburg.de,https://tinyurl.com/y7ga6tjc
