Link,Name,School,Location,Language of instruction,Standard length of studies,Degree,Area of Focus,Tuition fees,Admission requirements (Germany),Admission requirements (Link),Admission Mode,Admission Semester,Lecture Period,Website,International Office (AAA),AAA Mail,AAA Link
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w18385&q=&degree=37&subjects%5B380%5D=1&studyareas%5B380%5D=1&studyfields%5B394%5D=1&studyfields%5B390%5D=1&courselanguage=2&locations=&universities%5B1%5D=1&admissionsemester=&sort=name&page=1,Agricultural Economics,University of Hohenheim,Stuttgart-Hohenheim,English,4 semesters,Master's degree (Master of Science),,,APPLICATION: Application deadline: 15.07. (15.03. for Non-EU citizens); 30 places. Online-pretest 'Internet Test Agecon' needed for application. Under certain conditions admission with a grade up to 2.9 is possible. Bachelor's degree certificate to hand in until 31st December at the latest. SELECTION CRITERIA: *Grade of bachelor's degree *Completed apprenticeship *Hands-on training or studies abroad *Motivation letter See admission regulations for further information.,https://www.uni-hohenheim.de/en/application-agecon-info,selection by the HEI,Winter Semester only,15.10.2018 - 02.02.2019 Non-lecture days: Tue 31.10.2017 (Reformation Day across Germany) Wed 01.11.2017 (All Saints' Day) Sun 24.12.2017 to Sat 06.01.2018 (Christmas holidays),https://www.uni-hohenheim.de/agecon,Akademisches Auslandsamt Schloss Hohenheim Kolleggangflügel 70599 Stuttgart Tel.: 0711 459-22019 Fax: 0711 459-23723,aaa@uni-hohenheim.de,https://www.uni-hohenheim.de/organisation/einrichtung/akademisches-auslandsamt-aa
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w45839&q=&degree=37&subjects%5B380%5D=1&studyareas%5B380%5D=1&studyfields%5B394%5D=1&studyfields%5B390%5D=1&courselanguage=2&locations=&universities%5B1%5D=1&admissionsemester=&sort=name&page=1,Bioeconomy,University of Hohenheim,Stuttgart-Hohenheim,English,4 semesters,Master's degree (Master of Science),,,APPLICATION: Application deadline: 15.06.; 45 places. Bachelor's degree certificate to hand in until 31st December at the latest. SELECTION CRITERIA: *Grade of bachelor's degree *Subject-specific qualification *Completed apprenticeship or hands-on training *Motivation letter See admission regulations for further information.,https://www.uni-hohenheim.de/en/biecon-apply,selection by the HEI,Winter Semester only,15.10.2018 - 02.02.2019 Non-lecture days: Tue 31.10.2017 (Reformation Day across Germany) Wed 01.11.2017 (All Saints' Day) Sun 24.12.2017 to Sat 06.01.2018 (Christmas holidays),https://uni-hohenheim.de/bioecon,Akademisches Auslandsamt Schloss Hohenheim Kolleggangflügel 70599 Stuttgart Tel.: 0711 459-22019 Fax: 0711 459-23723,aaa@uni-hohenheim.de,https://www.uni-hohenheim.de/organisation/einrichtung/akademisches-auslandsamt-aa
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w23835&q=&degree=37&subjects%5B380%5D=1&studyareas%5B380%5D=1&studyfields%5B394%5D=1&studyfields%5B390%5D=1&courselanguage=2&locations=&universities%5B1%5D=1&admissionsemester=&sort=name&page=1,Comparative Local Development,University of Regensburg,Regensburg,English,18 months,Joint European Master in Comparative Local Development (Joint Master in Comparative Local Development),,,Academic studies in an economics law politics social science or comparable subject with above-average results (an overall grade of at least 'good'); at least 210 CP as part of the first academic studies; proof of a good command of English,,open admission,Winter Semester only,15.10.2018 - 09.02.2019,http://www.erasmusmundus-code.eu/,International Office Universitätsstr. 31 93053 Regensburg Tel.: 0941 943-2373 Fax: 0941 943-3882,marianne.sedlmeier@verwaltung.uni-regensburg.de,http://www-auslandsamt.uni-regensburg.de/willkommen.de.html
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w44007&q=&degree=37&subjects%5B380%5D=1&studyareas%5B380%5D=1&studyfields%5B394%5D=1&studyfields%5B390%5D=1&courselanguage=2&locations=&universities%5B1%5D=1&admissionsemester=&sort=name&page=1,Competition & Regulation,Leuphana University Lüneburg,Lüneburg,English,3 semesters,Master of Laws (Master of Laws),,920000 EUR total,Admission to the postgraduate Master's degree in Competition & Regulation LLM requires: 1.) A first professionally qualifying degree in Law or Economic Law in which in-depth legal knowledge was taught; Other degrees in subject-related courses may also be recognised 2.) At least 1 year of relevant professional experience; the following experience is deemed to be of particular relevance: - Full-time eligible (if applicable also voluntary) employment. Employment is deemed to be eligible if it predominantly involved work that corresponds to the qualification level of the relevant degree. - Post-graduate civil service including the economic law aspects. - Subject-related professional training. - Full-time work placement provided that aspects of economic law have been dealt with. 3.) Language proficiency: Applicants must also provide evidence of proficiency in English.,https://www.leuphana.de/professional-school/berufsbegleitende-master-mba/llm-fernstudium-competition-regulation.html,selection by the HEI,Summer and Winter Semester,03.04.2018 - 06.07.2018,http://www.leuphana.de/llm-competition,International Office Universitätsallee 1 21335 Lüneburg Tel.: 04131 677-1070 Fax: 04131 677-1075,international@uni.leuphana.de,http://www.leuphana.de/services/io.html
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w61601&q=&degree=37&subjects%5B380%5D=1&studyareas%5B380%5D=1&studyfields%5B394%5D=1&studyfields%5B390%5D=1&courselanguage=2&locations=&universities%5B1%5D=1&admissionsemester=&sort=name&page=1,Consumer Science,Munich University of Technology,München,English,4 semesters,Master of Science (Master of Science),,Ausnahmen beachten!,Bestehen des Eignungsverfahrens,https://www.wi.tum.de/programs/master-consumer-science/application/,,Winter Semester only,01.10.2018 - 31.03.2019,https://www.wi.tum.de/programs/master-consumer-science/program-structure/,International Center Arcisstraße 21 80333 München,internationalcenter@tum.de,http://portal.mytum.de/studium/ausland/kontakt/index_html
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w15442&q=&degree=37&subjects%5B380%5D=1&studyareas%5B380%5D=1&studyfields%5B394%5D=1&studyfields%5B390%5D=1&courselanguage=2&locations=&universities%5B1%5D=1&admissionsemester=&sort=name&page=1,Contemporary East Asian Studies,University of Duisburg-Essen,Duisburg,English,4 semesters,Master of Arts (Master of Arts),,https://www.uni-due.de/studierendensekretariat/sozial_studierendenschaftsbeitrag.shtml,BA in Economics or Social Science with a grade of at least 2.5; command of English at level C1 in accordance with the CEFR European Reference Framework; aptitude assessment test (internal application procedure) deadline for EU citizens is 15.09. for non-EU citizens 15.07.,https://www.uni-due.de/verwaltung/satzungen_ordnungen/pruefungsordnungen.php,open admission,Winter Semester only,09.10.2017 - 02.02.2018 The dates are inclusive of the first and last day specified.,https://www.uni-due.de/in-east/study_programs/ma_ceas/,Akademisches Auslandsamt / Campus Essen Universitätsstrasse 2 45141 Essen Tel.: 0201 183-4128 Fax: 0201 183-2257,essen-io@uni-due.de,http://www.uni-due.de/international/
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w61588&q=&degree=37&subjects%5B380%5D=1&studyareas%5B380%5D=1&studyfields%5B394%5D=1&studyfields%5B390%5D=1&courselanguage=2&locations=&universities%5B1%5D=1&admissionsemester=&sort=name&page=1,Data Science,University of Trier,Trier,English,4 semesters,Master's (single-subject) (M. Sc.),,28105 EUR per semester,,,open admission,Summer and Winter Semester,22.10.2018 - 09.02.2019,https://www.uni-trier.de/index.php?id=65325,Akademisches Auslandsamt Universitätsring 15 54296 Trier Tel.: 0651 201-2806 Fax: 0651 201-3914,aaa@uni-trier.de,http://www.international.uni-trier.de
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w33862&q=&degree=37&subjects%5B380%5D=1&studyareas%5B380%5D=1&studyfields%5B394%5D=1&studyfields%5B390%5D=1&courselanguage=2&locations=&universities%5B1%5D=1&admissionsemester=&sort=name&page=1,Development Economics,University of Göttingen,Göttingen,English,4 semesters,Master (Master of Arts),,http://www.uni-goettingen.de/de/32172.html,150 credit points in the relevant Bachelor course,,selection by the HEI,Summer and Winter Semester,09.04.2018 - 13.07.2018,http://www.uni-goettingen.de/de/203661.html,Göttingen International von-Siebold-Straße 4 37075 Göttingen Tel.: 0551 39-13586 Fax: 0551 39-1813586,international@uni-goettingen.de,http://www.uni-goettingen.de/international_office
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w34582&q=&degree=37&subjects%5B380%5D=1&studyareas%5B380%5D=1&studyfields%5B394%5D=1&studyfields%5B390%5D=1&courselanguage=2&locations=&universities%5B1%5D=1&admissionsemester=&sort=name&page=1,Development Economics and International Studies,University of Erlangen-Nuremberg,Erlangen,English,4 semesters,Master of Arts (Master of Arts),,,- Qualified degree (Bachelor's Diplom or equivalent) in Economics. Applicants with a degree in a related subject must present evidence of a strong focus on Economics and Quantitative Methods in their undergraduate education. - Sound command of English documented by the Test of English as a Foreign Language (TOEFL) or International English Language Testing System (IELTS) or an equivalent method.,http://www.fau.de/studium/vor-dem-studium/bewerbung/anmeldung-zum-masterstudium/,open admission,Winter Semester only,15.10.2018 - 09.02.2019,https://www.economics.phil.fau.de/studium/studiengaenge/master-of-arts-development-economics-and-international-studies/,Referat für internationale Angelegenheiten Helmstraße 1 91054 Erlangen Tel.: 09131 85-24801 Fax: 09131 85-22131,brigitte.perlick@fau.de,http://www.fau.de/international/
https://www.daad.de/deutschland/studienangebote/studiengang/en/?a=detail&id=w48857&q=&degree=37&subjects%5B380%5D=1&studyareas%5B380%5D=1&studyfields%5B394%5D=1&studyfields%5B390%5D=1&courselanguage=2&locations=&universities%5B1%5D=1&admissionsemester=&sort=name&page=1,Development Studies,University of Passau,Passau,English,4 semesters,Master (Master of Arts),,https://www.uni-passau.de/studium/waehrend-des-studiums/kosten-finanzierung/semesterbeitraege/,Academic requirements: A first (Bachelor's degree or equivalent) university degree in Social Sciences Economics or Business Studies i.e. in one of the following disciplines: Anthropology Demography Empirical Social or Human Geography Sociology Administrative Science Economics Business Studies/Administration or any other equivalent degree with a minimum of 60 ECTS credits in one or several of these disciplines based on a minimum three-year full-time programme. Out of these 60 10 ECTS credits need to come from methods of empirical research such as data collection and survey design qualitative or quantitative data analysis mathematics or statistics. Your overall average mark for your undergraduate degree should be equivalent to 2.5 or better according to the German marking scale or ranked among the best 50% of your cohort. Language requirements: Unless English is your first language or the language of instruction for your undergraduate studies or secondary school education you will need to prove that you have adequate English skills (level B2 CEFR or higher) by means of a recognised language test such as TOEFL with a score of at least 220 (computer-based) 550 (paper-based) or 100 (Internet-based) or an equivalent certificate. Applicants should also have basic knowledge of German (level A1) to make sure that they can organise their everyday life. Applicants who do not yet have basic knowledge of German are offered the possibility to take a language class either before the start of the programme or within the first two semesters.,http://www.uni-passau.de/bewerbung-master/,,Winter Semester only,15.10.2018 - 09.02.2019,http://www.uni-passau.de/master-development-studies/,Akademisches Auslandsamt Innstr. 41 94032 Passau Tel.: 0851 509-1160 Fax: 0851 509-1164,auslandsamt@uni-passau.de,http://www.uni-passau.de/auslandsamt.html
